Year Foaled,Sire,Dam,Sex,Consignor,Price (€),Purchaser,Price (£),Price (gns)
2020.0,Acclamation (GB),Nina Bonita (IRE),Filly,Springwell Stud,32000.0,Deuce Greathouse/Pura Vida    ,,
2020.0,Dandy Man (IRE),Nivvo (IRE),Colt,Limekiln Stud,80000.0,Highflyer Bloodstock          ,,
2020.0,Australia (GB),Nourah (IRE),Filly,The Castlebridge Consignment,110000.0,New Approach Bloodstock       ,,
2020.0,Invincible Spirit (IRE),Oakley Girl (GB),Colt,Irish National Stud,,Vendor (90000),,
2020.0,Sea The Stars (IRE),Olympienne (IRE),Colt,Tinnakill House,120000.0,"A.C. Elliott, Agent           ",,
2020.0,Gleneagles (IRE),On Location (USA),Filly,Lynn Lodge Stud,90000.0,"Bo Bromagen, Agent            ",,
2020.0,Saxon Warrior (JPN),Online Alexander (IRE),Filly,Mountarmstrong Stud,200000.0,Daithi Havey/Highland Yard LLC,,
2020.0,Lope de Vega (IRE),Only Mine (IRE),Filly,Camas Park Stud,250000.0,West Bloodstock               ,,
2020.0,Zoffany (IRE),Opera Fan (FR),Filly,Camas Park Stud,70000.0,Whitethorn Stud               ,,
2020.0,No Nay Never (USA),Ornelia Ruee (FR),Filly,Irish National Stud,150000.0,SackvilleDonald               ,,
2020.0,Australia (GB),Ownwan (USA),Filly,Gormanstown Stud,22000.0,"Justin Casse, Agent           ",,
2020.0,Camelot (GB),Pakora (FR),Filly,Pier House Stud,200000.0,"Dan Hayden, Agent (Blue Devil)",,
2020.0,Galileo Gold (GB),Pale Orchid (IRE),Filly,Tally Ho Stud,52000.0,Avenue Bloodstock/Hugo Palmer ,,
2020.0,Footstepsinthesand (GB),Paper Dreams (IRE),Colt,Kilpatrick Farm,100000.0,Magnolia Racing               ,,
2020.0,Belardo (IRE),Pardoven (IRE),Colt,Kilpatrick Farm,50000.0,Amo Racing                    ,,
2020.0,Roaring Lion (USA),Penny Pepper (IRE),Colt,Owenstown Stud,50000.0,Johnston Racing               ,,
2020.0,Churchill (IRE),Perfect Alchemy (IRE),Colt,Pipe View Stud,16000.0,Scuderia Orizzonte Verde Srls  (PS),,
2020.0,Churchill (IRE),Pernica (GB),Colt,Croom House Stud,58000.0,Joseph O'Brien                ,,
2020.0,Bungle Inthejungle (GB),Petit Calva (FR),Filly,Kildaragh Stud,,Withdrawn,,
2020.0,Camacho (GB),Petits Potins (IRE),Colt,Baroda Stud,77000.0,"A.C.Elliott,Agent/MLW Bell    ",,
2020.0,Saxon Warrior (JPN),Phantasmagoric (IRE),Colt,Baroda Stud,,Vendor (70000),,
2020.0,New Approach (IRE),Phedre (GB),Colt,Salcey Forest Stud,37000.0,Stamina Turf                  ,,
2020.0,Siyouni (FR),Pichola Dance (IRE),Filly,The Castlebridge Consignment,,Withdrawn,,
2020.0,Noble Mission (GB),Pick And Choose (USA),Colt,Tally Ho Stud,100000.0,Peter Nolan/Noel Meade        ,,
2020.0,Roaring Lion (USA),Piscean Dream (IRE),Filly,The Castlebridge Consignment,45000.0,David Redvers                 ,,
2020.0,Dark Angel (IRE),Plagiarism (USA),Filly,Yeomanstown Stud,,Vendor (90000),,
2020.0,Galileo (IRE),Pocketfullofdreams (FR),Colt,Manister House Stud,440000.0,"Kenneth McPeek, Agent         ",,
2020.0,Churchill (IRE),Politesse (USA),Colt,Limekiln Stud,,Withdrawn,,
2020.0,Make Believe (GB),Poppet's Lovein (GB),Colt,Kildaragh Stud,50000.0,Howson & Houldsworth/Genesis  ,,
2020.0,Camelot (GB),Potion (GB),Filly,Islanmore Stud,52000.0,Meridian International        ,,
2020.0,Golden Horn (GB),Pretty Diamond (IRE),Colt,Oak Lodge  & Springfield House,55000.0,Sam Sangster Bloodstock       ,,
2020.0,Invincible Spirit (IRE),Prima Luce (IRE),Colt,The Castlebridge Consignment,105000.0,BBA Ireland/Yulong Investments,,
2020.0,Kessaar (IRE),Princess Rose (GB),Colt,Lynn Lodge Stud,,Vendor (78000),,
