Name,Year,Sex,Sire,Dam,Trainer,Flat rating,Diff Flat,Flat Clltrl,AWT rating,Diff AWT,AWT Clltrl,Chase rating,Diff Chase,Chase Clltrl,Hurdle rating,Diff Hurdle,Hurdle Clltrl
ADAMHILL (IRE),2015,GELDING,OSCAR (IRE),BENEFIT OF PORTER (IRE),Henry Oliver,,,,,,,95,-2,,95,-2,
ADAYAR (IRE),2018,COLT,FRANKEL (GB),ANNA SALAI (USA),Charlie Appleby,121,,,,,,,,,,,
ADDEYBB (IRE),2014,GELDING,PIVOTAL (GB),BUSH CAT (USA),,113,,,,,,,,,,,
ADDIE BOO BOO (IRE),2019,FILLY,ADAAY (IRE),BONNIE LESLEY (IRE),,58,,,,,,,,,,,
ADDOSH (GB),2018,FILLY,THE GURKHA (IRE),WILD STORM (GB),Stuart Edmunds,67,,,,,,,,,120,,
ADEB (IRE),2019,GELDING,COTAI GLORY (GB),HIGHEST PRAISE (GB),Richard Fahey,83,,,,,,,,,,,
ADELA OF CHAMPAGNE (FR),2019,FILLY,KINGMAN (GB),HAVRE DE PAIX (FR),David Menuisier,62,,,,,,,,,,,
ADELITA (IRE),2018,FILLY,TERRITORIES (IRE),SIBLING HONOUR (GB),Tom Clover,68,,,,,,,,,,,
ADELPHI SPRITE (GB),2016,GELDING,CITYSCAPE (GB),CAILIN NA RI (IRE),Philip Kirby,,,,,,,79,-3,,79,-3,
ADJANI (IRE),2020,FILLY,KESSAAR (IRE),ESEDRA (IRE),,50,,,,,,,,,,,
ADJOURN (GB),2019,GELDING,POSTPONED (IRE),MICAELA'S MOON (USA),,88,,,,,,,,,,,
ADJOURNMENT (IRE),2016,GELDING,COURT CAVE (IRE),CHERRY EILE (IRE),Oliver Greenall & Josh Guerriero,,,,,,,,,,110,new,
ADJUDICATOR (IRE),2019,GELDING,DARK ANGEL (IRE),AFRICAN MOONLIGHT (UAE),,73,,,,,,,,,,,
ADJUVANT (IRE),2019,GELDING,NEW BAY (GB),LEVANTO (IRE),Michael Bell,90,,,,,,,,,,,
ADMIRABLE LAD (GB),2018,GELDING,BATED BREATH (GB),ADMIRABLE SPIRIT (GB),Chelsea Banham,56,,,,,,,,,,,
ADMIRAL BARRATRY (FR),2013,GELDING,SOLDIER OF FORTUNE (IRE),HASKILCLARA (FR),Lucy Wadham,,,,,,,117,,,,,
ADMIRAL D (IRE),2019,GELDING,ARDAD (IRE),DERVAL (IRE),Richard Fahey,92,,,,,,,,,,,
