Stallion,Offered,Sold,High £,Av. £,Med. £,Colt Av. £,Colt Med. £,Filly Av. £,Filly Med. £,year,age
Sioux Nation,111,98,"225,750","35,797","20,856","49,105","29,175","26,620","16,895",2021,yearling
Crystal Ocean,37,27,"141,750","28,573","20,848","34,826","24,564","13,722","14,893",2022,yearling
Blue Bresil,23,18,"43,864","20,897","20,848","23,559","22,099","15,573","20,014",2022,yearling
Tasleet,53,46,"84,000","27,167","20,069","28,885","21,238","23,615","16,000",2021,yearling
Footstepsinthesand,59,50,"100,000","25,779","19,866","28,415","20,000","22,424","18,095",2022,yearling
El Kabeir,47,43,"136,500","27,072","19,850","28,408","19,500","24,579","19,850",2021,yearling
Inns of Court,136,122,"183,750","29,886","19,841","35,662","22,423","24,477","17,000",2022,yearling
Dabirsim,43,37,"85,080","23,079","19,569","21,831","18,621","24,396","22,489",2021,yearling
U S Navy Flag,84,72,"143,027","29,469","19,449","26,388","15,875","33,781","23,148",2022,yearling
Galileo Gold,44,36,"81,990","29,085","19,194","28,394","18,000","29,704","21,000",2021,yearling
Footstepsinthesand,57,48,"537,625","39,792","19,000","53,597","28,350","18,721","11,000",2021,yearling
Make Believe,35,33,"93,588","26,300","18,987","35,675","36,750","16,339","13,168",2021,yearling
Time Test,56,43,"136,500","29,301","18,900","40,288","36,750","14,041","11,775",2022,yearling
Havana Grey,85,79,"110,000","28,721","18,900","32,639","22,219","23,260","17,261",2021,yearling
Tamayuz,29,28,"136,500","34,640","18,881","45,312","36,000","26,636","15,457",2021,yearling
Shalaa,69,59,"119,113","28,461","18,621","27,319","17,883","29,814","18,718",2021,yearling
Muhaarar,22,20,"65,100","25,166","18,375","27,130","25,725","22,221","15,900",2022,yearling
Raven's Pass,22,16,"78,750","18,629","18,161","21,070","18,161","14,560","16,727",2022,yearling
Counterattack,22,15,"63,281","20,885","18,002","23,884","17,438","17,457","20,250",2021,yearling
Holy Roman Emperor,52,46,"80,000","22,453","17,920","28,686","26,250","15,034","12,075",2021,yearling
Make Believe,59,53,"231,000","27,129","17,739","26,123","18,917","28,662","11,000",2022,yearling
Camacho,96,85,"231,000","25,450","17,261","22,388","17,000","30,274","20,000",2021,yearling
Mayson,24,20,"75,000","21,176","17,118","20,589","14,968","22,546","20,000",2021,yearling
Aclaim,29,27,"210,000","27,767","17,042","28,509","19,521","25,650","13,650",2022,yearling
Attendu,15,12,"30,471","15,927","17,016","10,883","13,543","19,529","21,270",2021,yearling
Galileo Gold,19,13,"170,000","37,775","17,000","57,015","23,100","15,328","13,146",2022,yearling
Fast Company,69,58,"90,000","22,585","16,964","28,763","21,719","15,965","12,752",2021,yearling
Cable Bay,36,32,"136,500","25,952","16,925","26,290","14,727","25,613","19,425",2022,yearling
Tamayuz,29,25,"45,000","18,568","16,800","19,859","16,800","15,824","15,335",2022,yearling
Vadamos,12,11,"42,000","18,790","16,693","19,623","17,118","17,332","12,594",2021,yearling
The Grey Gatsby,27,24,"115,500","25,470","16,562","27,068","18,662","24,330","16,562",2022,yearling
Cloth of Stars,57,50,"111,740","26,473","16,337","28,663","17,788","21,818","12,582",2022,yearling
Camacho,33,26,"110,250","21,001","16,089","18,266","14,500","24,191","16,089",2022,yearling
James Garfield,34,30,"85,000","18,398","16,074","22,366","17,913","16,101","14,017",2021,yearling
Goken,26,24,"78,096","21,925","16,053","20,119","16,487","24,937","9,553",2022,yearling
Belardo,45,39,"86,306","23,882","16,000","19,767","10,370","29,206","26,755",2021,yearling
Due Diligence,34,31,"78,000","21,437","15,750","20,954","16,800","23,450","12,000",2022,yearling
Shalaa,55,41,"126,000","26,185","15,619","25,496","12,159","27,260","18,229",2022,yearling
Pedro the Great,44,31,"42,321","17,440","15,236","21,338","21,161","14,625","13,168",2021,yearling
Kessaar,26,20,"162,750","34,128","15,072","26,360","23,000","40,483","14,000",2022,yearling
Harry Angel,66,51,"126,796","20,838","15,000","18,357","13,475","23,418","21,000",2022,yearling
